,year,country,is_host,gold,silver,bronze,total_medal
0,1924,CHN,0,0,0,0,0
1,1924,DEN,0,2,5,2,9
2,1924,NED,0,4,1,5,10
3,1924,FIN,0,14,13,10,37
4,1924,NOR,0,5,2,3,10
5,1924,ROU,0,0,0,1,1
6,1924,EST,0,1,1,4,6
7,1924,FRA,1,13,15,10,38
8,1924,MAR,0,0,0,0,0
9,1924,ESP,0,0,0,0,0
10,1924,EGY,0,0,0,0,0
11,1924,IRI,0,0,0,0,0
12,1924,BUL,0,0,0,0,0
13,1924,ITA,0,8,3,5,16
14,1924,CHA,0,0,0,0,0
15,1924,AZE,0,0,0,0,0
16,1924,SUD,0,0,0,0,0
17,1924,RUS,0,0,0,0,0
18,1924,ARG,0,1,3,2,6
19,1924,CUB,0,0,0,0,0
20,1924,BLR,0,0,0,0,0
21,1924,GRE,0,0,0,0,0
22,1924,CMR,0,0,0,0,0
23,1924,TUR,0,0,0,0,0
24,1924,CHI,0,0,0,0,0
25,1924,MEX,0,0,0,0,0
26,1924,USA,0,45,27,27,99
27,1924,URS,0,0,0,0,0
28,1924,NCA,0,0,0,0,0
29,1924,HUN,0,2,3,4,9
30,1924,NGR,0,0,0,0,0
31,1924,ALG,0,0,0,0,0
32,1924,KUW,0,0,0,0,0
33,1924,BRN,0,0,0,0,0
34,1924,PAK,0,0,0,0,0
35,1924,IRQ,0,0,0,0,0
36,1924,LBN,0,0,0,0,0
37,1924,QAT,0,0,0,0,0
38,1924,MAS,0,0,0,0,0
39,1924,GER,0,0,0,0,0
40,1924,CAN,0,0,3,1,4
41,1924,IRL,0,0,0,0,0
42,1924,AUS,0,3,1,2,6
43,1924,RSA,0,1,1,1,3
44,1924,ERI,0,0,0,0,0
45,1924,TAN,0,0,0,0,0
46,1924,JOR,0,0,0,0,0
47,1924,TUN,0,0,0,0,0
48,1924,LBA,0,0,0,0,0
49,1924,BEL,0,3,7,3,13
50,1924,DJI,0,0,0,0,0
51,1924,PLE,0,0,0,0,0
52,1924,COM,0,0,0,0,0
53,1924,KAZ,0,0,0,0,0
54,1924,BRU,0,0,0,0,0
55,1924,IND,0,0,0,0,0
56,1924,KSA,0,0,0,0,0
57,1924,SYR,0,0,0,0,0
58,1924,MDV,0,0,0,0,0
59,1924,ETH,0,0,0,0,0
60,1924,UAE,0,0,0,0,0
61,1924,YAR,0,0,0,0,0
62,1924,INA,0,0,0,0,0
63,1924,PHI,0,0,0,0,0
64,1924,SGP,0,0,0,0,0
65,1924,UZB,0,0,0,0,0
66,1924,KGZ,0,0,0,0,0
67,1924,TJK,0,0,0,0,0
68,1924,EUN,0,0,0,0,0
69,1924,JPN,0,0,0,1,1
70,1924,CGO,0,0,0,0,0
71,1924,SUI,0,7,8,10,25
72,1924,BRA,0,0,0,0,0
73,1924,GDR,0,0,0,0,0
74,1924,MGL,0,0,0,0,0
75,1924,ISR,0,0,0,0,0
76,1924,URU,0,1,0,0,1
77,1924,SWE,0,4,13,12,29
78,1924,SRI,0,0,0,0,0
79,1924,ARM,0,0,0,0,0
80,1924,CIV,0,0,0,0,0
81,1924,KEN,0,0,0,0,0
82,1924,BEN,0,0,0,0,0
83,1924,GBR,0,9,13,12,34
84,1924,GHA,0,0,0,0,0
85,1924,SOM,0,0,0,0,0
86,1924,MLI,0,0,0,0,0
87,1924,AFG,0,0,0,0,0
88,1924,POL,0,0,1,1,2
89,1924,CRC,0,0,0,0,0
90,1924,PAN,0,0,0,0,0
91,1924,GEO,0,0,0,0,0
92,1924,SLO,0,0,0,0,0
93,1924,GUY,0,0,0,0,0
94,1924,NZL,0,0,0,1,1
95,1924,POR,0,0,0,1,1
96,1924,PAR,0,0,0,0,0
97,1924,ANG,0,0,0,0,0
98,1924,VEN,0,0,0,0,0
99,1924,COL,0,0,0,0,0
100,1924,FRG,0,0,0,0,0
101,1924,BAN,0,0,0,0,0
102,1924,PER,0,0,0,0,0
103,1924,ESA,0,0,0,0,0
104,1924,PUR,0,0,0,0,0
105,1924,UGA,0,0,0,0,0
106,1924,HON,0,0,0,0,0
107,1924,ECU,0,0,0,0,0
