iter	MultiClass
0	1.192330188
1	1.058344684
2	0.9579843627
3	0.8803322217
4	0.8186202215
5	0.7686692648
6	0.7266277468
7	0.692613884
8	0.6632824706
9	0.6389341364
10	0.6184635231
11	0.6010624357
12	0.5847975245
13	0.5716482236
14	0.5594261186
15	0.5491676877
16	0.540298134
17	0.5325934731
18	0.5257014521
19	0.5198392222
20	0.5146530612
21	0.5100849299
22	0.5058856149
23	0.5019292736
24	0.4980966077
25	0.4954190837
26	0.492748656
27	0.4905469005
28	0.4882537178
29	0.4856414381
30	0.4841635987
31	0.48205367
32	0.4806756572
33	0.4791064975
34	0.4776535205
35	0.4760536013
36	0.4747440774
37	0.4734685109
38	0.4724955975
39	0.4713721724
40	0.4701942103
41	0.4695471201
42	0.468837732
43	0.4676748121
44	0.4667530611
45	0.4658379705
46	0.4651549414
47	0.4644844843
48	0.4636764297
49	0.4621060906
50	0.4611016394
51	0.4599055122
52	0.4593008838
53	0.4587288703
54	0.4579687298
55	0.4574565289
56	0.456985756
57	0.4563308494
58	0.4557897336
59	0.4550704799
60	0.4542147424
61	0.4536101151
62	0.4529189147
63	0.4522489596
64	0.4515471594
65	0.450868683
66	0.4504923681
67	0.4496148941
68	0.4489913317
69	0.4482328776
70	0.447574395
71	0.4471959637
72	0.4464606915
73	0.4457139545
74	0.4450095674
75	0.4444070626
76	0.444050684
77	0.4435881777
78	0.4427972063
79	0.4422630295
80	0.4420072978
81	0.4414136595
82	0.4409082689
83	0.4402454944
84	0.4399975574
85	0.4394867074
86	0.4390333359
87	0.4384686799
88	0.4379939626
89	0.4374941767
90	0.4373913553
91	0.4370732449
92	0.4366525352
93	0.4361428413
94	0.4358278075
95	0.4353786481
96	0.4348513832
97	0.4343071933
98	0.4339516306
99	0.4334524573
100	0.4331146681
101	0.4328985175
102	0.4323522173
103	0.4322602803
104	0.4315964226
105	0.4314030053
106	0.4310106116
107	0.4306160224
108	0.4301927109
109	0.4295630229
110	0.4291778227
111	0.4281091588
112	0.4275383998
113	0.4272271695
114	0.4269650218
115	0.4267355404
116	0.4263949131
117	0.4260288329
118	0.4257750051
119	0.4254671999
120	0.4251684146
121	0.4247821243
122	0.4244071739
123	0.4241972521
124	0.4238106007
125	0.4234388745
126	0.4232064905
127	0.4228358849
128	0.4226287802
129	0.4223702315
130	0.4217159849
131	0.4213912308
132	0.421161165
133	0.4208743027
134	0.4206443774
135	0.4201344329
136	0.4198421727
137	0.4196627808
138	0.4194650133
139	0.4190684786
140	0.4188392873
141	0.418624774
142	0.4183351313
143	0.4178560751
144	0.4175729402
145	0.4173485846
146	0.4171254442
147	0.416855115
148	0.4162458584
149	0.4160100087
150	0.4155592798
151	0.414971963
152	0.4147418877
153	0.4139249536
154	0.4137567114
155	0.4135525621
156	0.4128758892
157	0.4125473961
158	0.4123320243
159	0.4121341269
160	0.4119190852
161	0.411688196
162	0.4114754922
163	0.4112265923
164	0.4111086227
165	0.4107417664
166	0.4104333426
167	0.4102023644
168	0.4096369932
169	0.4095053923
170	0.4093088442
171	0.4092099349
172	0.4089261211
173	0.4085730102
174	0.4081714504
175	0.4077940374
176	0.4075095738
177	0.4071549326
178	0.4069686667
179	0.4068234373
180	0.4066524289
181	0.4064064026
182	0.4061544142
183	0.4058959092
184	0.4056201453
185	0.4051486123
186	0.4049603092
187	0.4047897886
188	0.4046635604
189	0.4043252939
190	0.4040863281
191	0.4038755737
192	0.403629103
193	0.4035588119
194	0.4032604404
195	0.4031359391
196	0.402933313
197	0.4027812819
198	0.4024200366
199	0.4021781412
