iter	Passed	Remaining
0	188	37550
1	246	24422
2	334	21952
3	416	20405
4	464	18114
5	500	16193
6	590	16283
7	611	14671
8	697	14801
9	725	13777
10	751	12905
11	791	12396
12	875	12599
13	958	12739
14	1049	12941
15	1133	13032
16	1225	13193
17	1320	13352
18	1406	13397
19	1490	13411
20	1571	13398
21	1652	13366
22	1733	13341
23	1824	13378
24	1916	13416
25	2001	13393
26	2082	13341
27	2166	13307
28	2265	13359
29	2352	13330
30	2436	13280
31	2518	13222
32	2602	13172
33	2687	13119
34	2773	13074
35	2857	13015
36	2939	12948
37	3026	12901
38	3109	12835
39	3187	12750
40	3269	12679
41	3347	12591
42	3435	12542
43	3516	12466
44	3599	12398
45	3684	12334
46	3766	12262
47	3863	12234
48	3950	12173
49	4032	12097
50	4116	12026
51	4198	11950
52	4286	11889
53	4367	11807
54	4448	11728
55	4535	11661
56	4616	11581
57	4705	11521
58	4785	11437
59	4868	11359
60	4957	11295
61	5047	11235
62	5131	11159
63	5215	11083
64	5301	11010
65	5384	10932
66	5471	10861
67	5552	10779
68	5634	10696
69	5712	10609
70	5791	10523
71	5881	10455
72	5961	10370
73	6042	10288
74	6123	10205
75	6201	10118
76	6287	10043
77	6367	9958
78	6448	9876
79	6527	9790
80	6609	9710
81	6705	9649
82	6787	9567
83	6867	9483
84	6952	9406
85	7030	9319
86	7120	9248
87	7202	9166
88	7284	9085
89	7363	9000
90	7446	8919
91	7533	8844
92	7621	8768
93	7708	8692
94	7797	8618
95	7890	8548
96	7974	8467
97	8058	8387
98	8144	8309
99	8233	8233
100	8324	8159
101	8411	8081
102	8494	7999
103	8579	7919
104	8665	7840
105	8756	7765
106	8836	7680
107	8921	7599
108	9007	7519
109	9096	7442
110	9183	7363
111	9270	7284
112	9349	7198
113	9432	7116
114	9533	7046
115	9617	6964
116	9703	6883
117	9786	6800
118	9866	6715
119	9954	6636
120	10034	6551
121	10118	6469
122	10198	6384
123	10279	6300
124	10363	6218
125	10439	6131
126	10517	6045
127	10594	5959
128	10675	5875
129	10760	5794
130	10841	5710
131	10925	5628
132	11007	5545
133	11089	5461
134	11170	5378
135	11256	5297
136	11339	5214
137	11418	5129
138	11496	5045
139	11579	4962
140	11659	4878
141	11739	4795
142	11819	4711
143	11897	4626
144	11980	4544
145	12062	4461
146	12141	4377
147	12223	4294
148	12311	4214
149	12399	4133
150	12479	4049
151	12557	3965
152	12640	3883
153	12722	3800
154	12810	3719
155	12890	3635
156	12976	3554
157	13059	3471
158	13147	3390
159	13236	3309
160	13316	3225
161	13392	3141
162	13472	3058
163	13557	2976
164	13637	2892
165	13717	2809
166	13799	2726
167	13878	2643
168	13962	2561
169	14048	2479
170	14130	2396
171	14218	2314
172	14303	2232
173	14387	2149
174	14469	2067
175	14549	1983
176	14628	1900
177	14705	1817
178	14789	1735
179	14872	1652
180	14953	1569
181	15033	1486
182	15112	1403
183	15201	1321
184	15283	1239
185	15362	1156
186	15441	1073
187	15520	990
188	15604	908
189	15681	825
190	15765	742
191	15843	660
192	15923	577
193	16013	495
194	16090	412
195	16169	329
196	16265	247
197	16342	165
198	16431	82
199	16511	0
