,Year,NOC,Sport,sport_num,isHost,TeamNum,AvgGoldRate,AvgMedalRate,medal_sport,gold_sport
0,1924,FIN,SWM,11,0,2,0.0,1.0,0,0
1,1924,FIN,WRF,7,0,24,0.2777777777777778,0.6666666666666666,16,4
2,1924,FIN,ATH,27,0,84,0.2592592592592592,0.3888888888888889,27,20
3,1924,FIN,SHO,10,0,43,0.0,0.2941176470588235,8,0
4,1924,FIN,MPN,1,0,3,0.0,0.0,0,0
5,1924,FIN,CRD,2,0,8,0.1102941176470588,0.25,0,0
6,1924,FIN,SAL,3,0,1,0.1102941176470588,0.25,1,0
7,1924,FIN,EDR,1,0,1,0.0,0.0,0,0
8,1924,FIN,DIV,5,0,6,0.0,0.0,0,0
9,1924,FIN,TEN,5,0,8,0.1102941176470588,0.25,0,0
10,1924,FIN,GAR,9,0,72,0.1102941176470588,0.25,0,0
11,1924,NOR,ATH,27,0,12,0.0416666666666666,0.0416666666666666,1,0
12,1924,NOR,FEN,7,0,12,0.048689138576779,0.1161048689138576,0,0
13,1924,NOR,SHO,10,0,39,0.1911764705882352,0.4558823529411764,10,5
14,1924,NOR,TEN,5,0,10,0.0,0.0,0,0
15,1924,NOR,SAL,3,0,9,0.7457627118644068,1.0,9,8
16,1924,NOR,BOX,8,0,9,0.0,0.0714285714285714,2,1
17,1924,NOR,WRF,7,0,7,0.0,0.1428571428571428,0,0
18,1924,NOR,MPN,1,0,2,0.0,0.0,0,0
19,1924,NOR,SWM,11,0,1,0.0,0.0,0,0
20,1924,BUL,CRD,2,0,11,0.0,0.0,0,0
21,1924,BUL,FBL,1,0,11,0.0,0.0,0,0
22,1924,BUL,ATH,27,0,6,0.0,0.0,0,0
23,1924,BUL,EDR,1,0,3,0.0,0.0,0,0
24,1924,CHI,BOX,8,0,4,0.0,0.0,0,0
25,1924,CHI,CRD,2,0,6,0.0,0.0,0,0
26,1924,CHI,FEN,7,0,1,0.0,0.0,0,0
27,1924,CHI,ATH,27,0,3,0.0,0.0,0,0
28,1924,CHI,TEN,5,0,4,0.0,0.0,0,0
29,1924,SUI,FBL,1,0,15,0.0158730158730158,0.0873015873015873,15,0
30,1924,SUI,TEN,5,0,8,0.0,0.0,0,0
31,1924,SUI,WLF,5,0,9,0.0,1.0,2,0
32,1924,SUI,FEN,7,0,23,0.0,0.0,0,0
33,1924,SUI,ROW,7,0,16,0.2777777777777778,0.4444444444444444,16,9
34,1924,SUI,CRD,2,0,13,0.0158730158730158,0.0873015873015873,0,0
35,1924,SUI,WRF,7,0,12,0.25,0.5,5,2
36,1924,SUI,WPO,1,0,7,0.0,0.0,0,0
37,1924,SUI,DIV,5,0,1,0.0,0.0,0,0
38,1924,SUI,ATH,27,0,27,0.0,0.0,2,0
39,1924,SUI,EDR,1,0,20,0.0158730158730158,0.0873015873015873,5,1
40,1924,SUI,BOX,8,0,7,0.0,0.0,0,0
41,1924,SUI,GAR,9,0,72,0.0158730158730158,0.0873015873015873,14,2
42,1924,SUI,SHO,10,0,13,0.0,0.4047619047619047,1,0
43,1924,SUI,SWM,11,0,2,0.0,0.0,0,0
44,1924,SUI,SAL,3,0,1,0.0158730158730158,0.0873015873015873,0,0
45,1924,MGL,SHO,10,0,4,0.0,0.0,0,0
46,1924,MGL,SAL,3,0,1,0.0,0.0,0,0
47,1924,MGL,ATH,27,0,3,0.0,0.0,0,0
48,1924,GBR,ATH,27,0,87,0.0909090909090909,0.3246753246753247,22,3
49,1924,GBR,CRD,2,0,18,0.0769230769230769,0.3461538461538461,2,0
50,1924,GBR,WPO,1,0,7,1.0,1.0,0,0
51,1924,GBR,SWM,11,0,36,0.0,0.2222222222222222,7,1
52,1924,GBR,DIV,5,0,13,0.0,0.2,1,0
53,1924,GBR,SHO,10,0,35,0.0,0.0,6,4
54,1924,GBR,WLF,5,0,10,0.0,0.0,0,0
55,1924,GBR,WRF,7,0,14,0.0,0.2,1,0
56,1924,GBR,BOX,8,0,16,0.125,0.375,4,2
57,1924,GBR,ROW,7,0,21,0.0,1.0,5,5
58,1924,GBR,MPN,1,0,4,0.0,0.0,0,0
59,1924,GBR,FEN,7,0,33,0.0,0.0,1,0
60,1924,GBR,EDR,1,0,16,0.0405797101449275,0.1217391304347826,0,0
61,1924,GBR,GAR,9,0,72,0.0,0.0,0,0
62,1924,GBR,TEN,5,0,20,0.1666666666666666,0.4166666666666667,5,0
63,1924,GBR,SAL,3,0,6,0.6666666666666666,0.6666666666666666,5,0
64,1924,FRA,SHO,10,1,31,0.0,0.1,6,1
65,1924,FRA,ATH,27,1,99,0.0117647058823529,0.1176470588235294,8,0
66,1924,FRA,WRF,7,1,24,0.0,0.0,1,1
67,1924,FRA,RU7,0,1,19,0.0,1.0,19,0
68,1924,FRA,EDR,1,1,20,0.0,0.1333333333333333,1,0
69,1924,FRA,FBL,1,1,12,0.0,0.0,0,0
70,1924,FRA,ROW,7,1,26,0.0,0.3571428571428571,9,0
71,1924,FRA,CRD,2,1,18,0.1904761904761904,0.238095238095238,10,8
72,1924,FRA,TEN,5,1,17,0.1428571428571428,0.3333333333333333,6,0
73,1924,FRA,FEN,7,1,35,0.0263157894736842,0.631578947368421,19,16
74,1924,FRA,SWM,11,1,32,0.0,0.0,0,0
75,1924,FRA,SAL,3,1,9,0.0,1.0,5,0
