,Name,Year,NOC,Sport,Sex,isHost,TeamNum,AvgGoldRate,AvgMedalRate,LastMedal,Medal,gold,total_medal
217306,Artur Aleksanyan,2028,ARM,WRF,M,0,5,0.0,0.2727272727272727,Gold,Silver,0,0
217307,Malkhas Amoyan,2028,ARM,WRF,M,0,5,0.0,0.2727272727272727,No medal,Bronze,0,0
217308,Slavik Galstyan,2028,ARM,WRF,M,0,5,0.0,0.2727272727272727,No medal,No medal,0,0
217309,Arsen Harutyunyan,2028,ARM,WRF,M,0,5,0.0,0.2727272727272727,No medal,No medal,0,0
217310,Vazgen Tevanyan,2028,ARM,WRF,M,0,5,0.0,0.2727272727272727,No medal,No medal,0,0
217312,Garik Karapetyan,2028,ARM,WLF,M,0,3,0.0,0.4,No medal,No medal,0,0
217313,Andranik Karapetyan,2028,ARM,WLF,M,0,3,0.0,0.4,No medal,No medal,0,0
217314,Varazdat Lalayan,2028,ARM,WLF,M,0,3,0.0,0.4,No medal,Silver,0,0
217315,Yervand Mkrtchyan,2028,ARM,ATH,M,0,1,0.0,0.0,No medal,No medal,0,0
217316,Elmira Karapetyan,2028,ARM,SHO,F,0,1,0.0,0.0,No medal,No medal,0,0
217317,Varsenik Manucharyan,2028,ARM,SWM,F,0,2,0.0,0.0,No medal,No medal,0,0
217318,Artur Barseghyan,2028,ARM,SWM,M,0,2,0.0,0.0,No medal,No medal,0,0
217319,Artur Davtyan,2028,ARM,GAR,M,0,4,0.0,0.3333333333333333,Bronze,No medal,0,0
217320,Artur Davtyan,2028,ARM,GAR,M,0,4,0.0,0.3333333333333333,Bronze,Silver,0,0
217321,Vahagn Davtyan,2028,ARM,GAR,M,0,4,0.0,0.3333333333333333,No medal,No medal,0,0
217322,Vahagn Davtyan,2028,ARM,GAR,M,0,4,0.0,0.3333333333333333,No medal,No medal,0,0
217323,Lorena Arenas,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,Silver,No medal,0,0
217324,Lorena Arenas,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,Silver,No medal,0,0
217325,Natalia Linares,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217326,Ronal Longa,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217327,Denis Ruiz,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217328,Angie Orjuela,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217329,Lucelly Murillo,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217330,Jose Zambrano,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,Silver,No medal,0,0
217331,Arnovis Dalmero,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217332,Mauricio Ortega,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217333,Evelis Aguilar,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217334,Martha Araujo,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217335,Cesar Herrera,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217336,Mayra Gaviria,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217337,Cristina Mojica,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217338,Esther Licona,2028,COL,ATH,F,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217339,Geiner Moreno,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217340,Mateo Romero,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217341,Jhonny Renteria,2028,COL,ATH,M,0,19,0.0,0.043478260869565216,No medal,No medal,0,0
217342,Luisa Blanco,2028,COL,GAR,F,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
217343,Luisa Blanco,2028,COL,GAR,F,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
217344,Luisa Blanco,2028,COL,GAR,F,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
217345,Luisa Blanco,2028,COL,GAR,F,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
217346,Luisa Blanco,2028,COL,GAR,F,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
217347,Luisa Blanco,2028,COL,GAR,F,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
217348,Angel Barajas,2028,COL,GAR,M,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
