NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
美国,65.27317695035157,135.18351291441883,62.666666666666664,54,67,135.66666666666666,125,142,54,140,40,126
中国,48.17717390296752,102.19264821652663,46.333333333333336,41,51,97.66666666666667,89,108,51,96,40,91
俄罗斯奥林匹克委员会,22.22506469568922,66.99837511413966,25.333333333333332,23,28,63.666666666666664,53,83,23,53,0,1
英国,18.011754989624023,53.040618896484375,22.333333333333332,14,31,47.0,41,51,31,49,14,65
日本,21.52831269222388,47.72153642050812,19.333333333333332,16,22,45.0,38,58,22,38,20,45
德国,13.051616668701172,44.69099044799805,14.0,10,17,45.0,42,48,15,45,12,33
澳大利亚,10.624505996704102,41.69126892089844,8.666666666666666,6,11,40.666666666666664,33,46,11,43,18,53
意大利,11.860946655273438,39.3547248840332,14.666666666666666,12,18,30.0,26,33,14,31,12,40
法国,12.695406756888106,37.91302911155516,11.333333333333334,6,19,36.0,23,43,6,43,16,64
荷兰,13.559537887573242,34.29584884643555,8.666666666666666,5,11,33.666666666666664,30,36,11,30,15,34
西班牙,4.779820919036865,19.39157485961914,5.333333333333333,3,9,21.333333333333332,13,30,9,13,5,18
加拿大,2.578696727752685,17.713424682617188,2.3333333333333335,1,3,19.0,16,22,3,16,9,27
韩国,5.523574352264404,16.481952667236328,5.333333333333333,2,7,19.0,13,22,2,22,13,32
新西兰,4.548597812652588,15.670722007751465,5.333333333333333,3,7,14.333333333333334,12,18,7,12,10,20
匈牙利,5.06751012802124,15.648137092590332,5.333333333333333,2,8,14.0,5,21,2,21,6,19
波兰,4.9204421043396,15.537898063659668,4.333333333333333,3,6,15.333333333333334,14,17,3,17,1,10
挪威,4.976337909698486,11.84658432006836,3.6666666666666665,1,8,12.0,8,15,2,8,4,8
巴西,1.6135536432266235,11.379237174987791,3.6666666666666665,3,4,9.666666666666666,6,15,4,15,3,20
丹麦,3.803382396697998,10.925257682800291,2.0,0,4,11.0,9,12,2,9,2,9
塞尔维亚,3.1823363304138184,8.833252906799316,1.3333333333333333,0,2,7.666666666666667,7,9,0,9,3,5
捷克,2.1691174507141118,7.103501319885254,2.3333333333333335,1,4,5.333333333333333,5,6,4,5,3,5
比利时,3.526954036162951,6.905459403991699,3.6666666666666665,3,4,7.333333333333333,5,11,4,6,3,10
阿根廷,0.8932911157608032,6.877642631530762,0.3333333333333333,0,1,9.666666666666666,9,11,1,9,1,3
南非,2.160596370697021,6.794304847717285,2.3333333333333335,1,4,8.333333333333334,6,10,1,9,1,6
克罗地亚,1.6909857988357544,6.557132244110107,0.6666666666666666,0,1,4.666666666666667,3,7,1,3,2,7
罗马尼亚,0.7646776437759399,6.487530708312988,0.3333333333333333,0,1,5.666666666666667,3,9,0,3,3,9
肯尼亚,2.1481549739837646,6.193021297454834,1.6666666666666667,1,2,7.666666666666667,7,8,2,8,4,11
斐济,2.802919387817383,5.935884475708008,2.6666666666666665,2,4,8.0,6,10,2,10,0,1
牙买加,1.556094765663147,5.78892183303833,2.3333333333333335,1,5,4.333333333333333,3,6,5,3,1,6
印度,2.146966457366944,5.478946685791016,3.3333333333333335,2,5,6.333333333333333,4,10,5,4,0,6
瑞典,1.213495850563049,5.428132057189941,1.6666666666666667,1,2,6.666666666666667,4,10,1,6,4,11
乌克兰,0.4860263764858246,4.948788642883301,0.0,0,0,3.0,1,6,0,6,3,12
尼日利亚,1.8601113557815552,4.812427520751953,2.3333333333333335,1,3,5.0,4,6,1,4,0,0
古巴,1.894295573234558,4.722751140594482,2.3333333333333335,1,3,3.0,2,4,1,3,2,9
白俄罗斯,0.9979187250137328,4.675942420959473,1.3333333333333333,0,3,5.333333333333333,3,8,1,5,1,4
哈萨克斯坦,0.8842054605484009,4.045333862304688,0.6666666666666666,0,1,3.3333333333333335,1,5,0,1,1,7
希腊,0.8277255296707153,3.817128419876098,0.6666666666666666,0,1,3.6666666666666665,2,7,1,2,1,8
瑞士,0.6279064416885376,3.4413578510284424,0.0,0,0,4.0,3,5,0,4,1,8
以色列,0.7215582132339478,3.4266674518585205,1.0,1,1,4.0,1,6,1,1,1,7
格鲁吉亚,0.7490260601043701,3.158766984939575,0.6666666666666666,0,2,3.3333333333333335,3,4,0,4,3,7
葡萄牙,0.6398240327835083,3.024123430252075,1.0,0,2,2.6666666666666665,2,4,1,2,1,4
爱尔兰,1.0805565118789673,3.017863512039185,2.0,1,3,2.0,1,3,2,2,4,7
墨西哥,0.4013191163539886,2.6976139545440674,0.3333333333333333,0,1,1.6666666666666667,1,3,1,3,0,5
伊朗,0.970967173576355,2.663691282272339,1.6666666666666667,1,2,2.3333333333333335,1,3,1,3,3,12
土耳其,0.6085687875747681,2.6245625019073486,0.6666666666666666,0,1,4.0,4,4,0,4,0,8
芬兰,0.9766093492507936,2.440816640853882,2.0,2,2,3.3333333333333335,0,7,2,0,0,0
乌兹别克斯坦,1.1403175592422483,2.3438560962677,1.0,0,2,1.3333333333333333,1,2,2,1,8,13
阿塞拜疆,0.6764477491378784,2.271248817443848,0.3333333333333333,0,1,2.6666666666666665,1,5,0,2,2,7
中华台北,0.7407876253128052,2.2247493267059326,1.0,0,2,2.3333333333333335,1,4,0,4,2,7
奥地利,0.7037912607192993,2.129963159561157,0.6666666666666666,0,1,0.3333333333333333,0,1,1,0,2,5
斯洛文尼亚,0.4377466142177582,2.1182148456573486,1.0,1,1,0.6666666666666666,0,1,1,1,2,3
印度尼西亚,0.7860281467437744,2.0175461769104004,1.0,1,1,1.3333333333333333,0,2,1,2,2,3
中国香港,0.5942095518112183,1.8972302675247192,0.3333333333333333,0,1,2.0,1,3,1,3,2,4
厄瓜多尔,0.6125506162643433,1.8547812700271609,0.0,0,0,2.3333333333333335,1,3,0,3,1,5
哥伦比亚,0.3376294076442718,1.722793698310852,0.6666666666666666,0,1,1.3333333333333333,0,3,0,1,0,4
特立尼达和多巴哥,0.7183060646057129,1.7132614850997925,0.3333333333333333,0,1,1.6666666666666667,1,2,1,2,0,0
立陶宛,0.3453815877437591,1.7104665040969849,0.3333333333333333,0,1,1.3333333333333333,0,2,0,2,0,4
埃塞俄比亚,0.4462532699108124,1.6710106134414673,0.0,0,0,1.6666666666666667,1,2,0,1,1,4
多米尼加,0.4198170602321625,1.6465545892715454,0.6666666666666666,0,2,1.3333333333333333,1,2,0,1,1,3
保加利亚,0.2722559869289398,1.5246344804763794,0.0,0,0,0.3333333333333333,0,1,0,0,3,7
博茨瓦纳,0.2003180682659149,1.5094462633132937,0.3333333333333333,0,1,1.6666666666666667,0,4,0,4,1,2
智利,0.4883821904659271,1.3532825708389282,0.3333333333333333,0,1,1.0,1,1,0,1,1,2
菲律宾,0.4086900651454925,1.246928095817566,0.3333333333333333,0,1,1.0,0,2,0,2,2,4
爱沙尼亚,0.4581150710582733,1.2087405920028689,1.0,0,2,2.0,1,3,1,3,0,0
斯洛伐克,0.2856191098690033,1.1071110963821411,1.0,0,2,0.6666666666666666,0,1,2,1,0,1
蒙古,0.0806334987282753,1.037371277809143,0.0,0,0,1.3333333333333333,0,2,0,2,0,1
阿尔及利亚,0.5414141416549683,0.9410082697868348,0.3333333333333333,0,1,1.0,1,1,0,1,2,3
马来西亚,0.0949257388710975,0.9201840758323668,0.0,0,0,0.3333333333333333,0,1,0,0,0,2
乌干达,0.2612713277339935,0.9107710719108582,1.0,0,2,1.0,1,1,1,1,1,2
埃及,0.1868568360805511,0.9078533053398132,0.0,0,0,2.3333333333333335,2,3,0,3,1,3
拉脱维亚,0.1755553185939788,0.902345597743988,0.0,0,0,1.3333333333333333,1,2,0,1,0,0
塞浦路斯,0.1093979850411415,0.8896602988243103,0.0,0,0,0.0,0,0,0,0,0,1
朝鲜,0.1827011406421661,0.8189086318016052,0.3333333333333333,0,1,0.6666666666666666,0,1,0,0,0,6
摩尔多瓦,0.1482615172863006,0.7622694373130798,0.3333333333333333,0,1,0.6666666666666666,0,1,1,1,0,4
波多黎各,0.2280689179897308,0.7471897006034851,0.0,0,0,0.0,0,0,0,0,0,2
亚美尼亚,0.0,0.7293018698692322,0.0,0,0,0.0,0,0,0,0,0,4
科索沃,0.1240867748856544,0.7174262404441833,0.0,0,0,0.0,0,0,0,0,0,2
卡塔尔,0.2397582828998565,0.7091076970100403,0.0,0,0,0.3333333333333333,0,1,0,0,0,1
巴拉圭,0.0365065112709999,0.6326426863670349,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
突尼斯,0.0630848184227943,0.5910980105400085,0.3333333333333333,0,1,1.0,0,2,0,2,1,3
