,Unnamed: 0,Year,NOC,predicted_gold,predicted_total_medal
17,17,2028,美国,65.27317695035157,135.18351291441883
7,7,2028,中国,48.17717390296752,102.19264821652663
191,191,2028,俄罗斯奥林匹克委员会,22.22506469568922,66.99837511413966
167,167,2028,英国,18.011754989624023,53.040618896484375
106,106,2028,日本,21.52831269222388,47.72153642050812
23,23,2028,德国,13.051616668701172,44.69099044799805
30,30,2028,澳大利亚,10.624505996704102,41.69126892089844
11,11,2028,意大利,11.860946655273438,39.3547248840332
113,113,2028,法国,12.695406756888106,37.91302911155516
46,46,2028,荷兰,13.559537887573242,34.29584884643555
50,50,2028,西班牙,4.779820919036865,19.39157485961914
165,165,2028,加拿大,2.578696727752685,17.713424682617188
160,160,2028,韩国,5.523574352264404,16.481952667236328
100,100,2028,新西兰,4.548597812652588,15.670722007751465
10,10,2028,匈牙利,5.06751012802124,15.648137092590332
109,109,2028,波兰,4.9204421043396,15.537898063659668
40,40,2028,挪威,4.976337909698486,11.84658432006836
61,61,2028,巴西,1.6135536432266235,11.379237174987791
178,178,2028,丹麦,3.803382396697998,10.925257682800291
129,129,2028,塞尔维亚,3.1823363304138184,8.833252906799316
198,198,2028,捷克,2.1691174507141118,7.103501319885254
96,96,2028,比利时,3.526954036162951,6.905459403991699
78,78,2028,阿根廷,0.8932911157608032,6.877642631530762
87,87,2028,南非,2.160596370697021,6.794304847717285
90,90,2028,克罗地亚,1.6909857988357544,6.557132244110107
200,200,2028,罗马尼亚,0.7646776437759399,6.487530708312988
143,143,2028,肯尼亚,2.1481549739837646,6.193021297454834
69,69,2028,斐济,2.802919387817383,5.935884475708008
102,102,2028,牙买加,1.556094765663147,5.78892183303833
71,71,2028,印度,2.146966457366944,5.478946685791016
192,192,2028,瑞典,1.213495850563049,5.428132057189941
116,116,2028,乌克兰,0.4860263764858246,4.948788642883301
151,151,2028,尼日利亚,1.8601113557815552,4.812427520751953
80,80,2028,古巴,1.894295573234558,4.722751140594482
144,144,2028,白俄罗斯,0.9979187250137328,4.675942420959473
176,176,2028,哈萨克斯坦,0.8842054605484009,4.045333862304688
146,146,2028,希腊,0.8277255296707153,3.817128419876098
112,112,2028,瑞士,0.6279064416885376,3.4413578510284424
91,91,2028,以色列,0.7215582132339478,3.4266674518585205
75,75,2028,格鲁吉亚,0.7490260601043701,3.158766984939575
197,197,2028,葡萄牙,0.6398240327835083,3.024123430252075
8,8,2028,爱尔兰,1.0805565118789673,3.017863512039185
27,27,2028,墨西哥,0.4013191163539886,2.6976139545440674
166,166,2028,伊朗,0.970967173576355,2.663691282272339
25,25,2028,土耳其,0.6085687875747681,2.6245625019073486
84,84,2028,芬兰,0.9766093492507936,2.440816640853882
32,32,2028,乌兹别克斯坦,1.1403175592422483,2.3438560962677
82,82,2028,阿塞拜疆,0.6764477491378784,2.271248817443848
123,123,2028,中华台北,0.7407876253128052,2.2247493267059326
103,103,2028,奥地利,0.7037912607192993,2.129963159561157
0,0,2028,斯洛文尼亚,0.4377466142177582,2.1182148456573486
117,117,2028,印度尼西亚,0.7860281467437744,2.0175461769104004
185,185,2028,中国香港,0.5942095518112183,1.8972302675247192
29,29,2028,厄瓜多尔,0.6125506162643433,1.8547812700271609
15,15,2028,哥伦比亚,0.3376294076442718,1.722793698310852
88,88,2028,特立尼达和多巴哥,0.7183060646057129,1.7132614850997925
171,171,2028,立陶宛,0.3453815877437591,1.7104665040969849
132,132,2028,埃塞俄比亚,0.4462532699108124,1.6710106134414673
76,76,2028,多米尼加,0.4198170602321625,1.6465545892715454
9,9,2028,保加利亚,0.2722559869289398,1.5246344804763794
114,114,2028,博茨瓦纳,0.2003180682659149,1.5094462633132937
183,183,2028,智利,0.4883821904659271,1.3532825708389282
170,170,2028,菲律宾,0.4086900651454925,1.246928095817566
162,162,2028,爱沙尼亚,0.4581150710582733,1.2087405920028689
31,31,2028,斯洛伐克,0.2856191098690033,1.1071110963821411
121,121,2028,蒙古,0.0806334987282753,1.037371277809143
20,20,2028,阿尔及利亚,0.5414141416549683,0.9410082697868348
41,41,2028,马来西亚,0.0949257388710975,0.9201840758323668
159,159,2028,乌干达,0.2612713277339935,0.9107710719108582
147,147,2028,埃及,0.1868568360805511,0.9078533053398132
139,139,2028,拉脱维亚,0.1755553185939788,0.902345597743988
141,141,2028,塞浦路斯,0.1093979850411415,0.8896602988243103
142,142,2028,朝鲜,0.1827011406421661,0.8189086318016052
148,148,2028,摩尔多瓦,0.1482615172863006,0.7622694373130798
153,153,2028,波多黎各,0.2280689179897308,0.7471897006034851
130,130,2028,亚美尼亚,0.0,0.7293018698692322
111,111,2028,科索沃,0.1240867748856544,0.7174262404441833
19,19,2028,卡塔尔,0.2397582828998565,0.7091076970100403
81,81,2028,巴拉圭,0.0365065112709999,0.6326426863670349
70,70,2028,突尼斯,0.0630848184227943,0.5910980105400085
157,157,2028,难民奥林匹克队,0.1995712220668792,0.5890743136405945
195,195,2028,约旦,0.107012428343296,0.5853491425514221
181,181,2028,马里,0.1300264298915863,0.559356153011322
74,74,2028,乌拉圭,0.1506827771663665,0.5321595072746277
99,99,2028,吉尔吉斯斯坦,0.1251783072948455,0.5259812474250793
107,107,2028,萨摩亚,0.1021846309304237,0.4696528315544128
38,38,2028,叙利亚,0.1609508693218231,0.438034176826477
122,122,2028,摩洛哥,0.1805821359157562,0.4361783862113952
3,3,2028,圭亚那,0.1010288968682289,0.4337634444236755
136,136,2028,缅甸,0.1433587968349456,0.4161540865898132
164,164,2028,危地马拉,0.1287491619586944,0.4125381112098694
180,180,2028,巴林,0.0817804113030433,0.4109200835227966
52,52,2028,格林纳达,0.0567965731024742,0.3985877931118011
47,47,2028,苏里南,0.1404295265674591,0.3979840874671936
26,26,2028,泰国,0.047561265528202,0.3969504237174988
150,150,2028,海地,0.1237228885293006,0.3948011994361877
196,196,2028,委内瑞拉,0.1419762074947357,0.3876001238822937
79,79,2028,阿联酋,0.0500504150986671,0.3822978138923645
13,13,2028,吉布提,0.0897926166653633,0.3715181946754455
92,92,2028,阿曼,0.1070114597678184,0.3643086552619934
104,104,2028,圣卢西亚,0.1081961318850517,0.3597616851329803
34,34,2028,巴拿马,0.0774985924363136,0.3561225533485412
128,128,2028,布隆迪,0.0972465947270393,0.3523645401000976
135,135,2028,冈比亚,0.0666354075074195,0.3407785296440124
154,154,2028,沙特阿拉伯,0.0763277783989906,0.3398427963256836
54,54,2028,北马其顿,0.045625664293766,0.3392311036586761
168,168,2028,塔吉克斯坦,0.0828708782792091,0.3347769379615783
67,67,2028,巴基斯坦,0.0798650756478309,0.3160516023635864
16,16,2028,新加坡,0.0396269336342811,0.3046907782554626
33,33,2028,科特迪瓦,0.0491518750786781,0.2936822772026062
37,37,2028,秘鲁,0.0099929347634315,0.2873026728630066
73,73,2028,卢森堡,0.0870770588517189,0.2817004323005676
1,1,2028,加蓬,0.0132533088326454,0.2750143706798553
43,43,2028,利比亚,0.0130535140633583,0.2586411833763122
14,14,2028,阿鲁巴,0.068988986313343,0.2568689584732055
134,134,2028,圣马力诺,0.0497343316674232,0.2565648257732391
179,179,2028,百慕大,0.0540728047490119,0.2539316415786743
120,120,2028,加纳,0.0576104894280433,0.2503913044929504
83,83,2028,南苏丹,0.0,0.2452291846275329
110,110,2028,波斯尼亚和黑塞哥维那,0.056556113064289,0.2440832257270813
175,175,2028,黎巴嫩,0.0421502962708473,0.2421614527702331
161,161,2028,苏丹,0.0488055869936943,0.2361060976982116
163,163,2028,几内亚比绍,0.0339086428284645,0.2354770898818969
201,201,2028,尼泊尔,0.035100944340229,0.2321894168853759
138,138,2028,科威特,0.0279769375920295,0.232068121433258
126,126,2028,土库曼斯坦,0.0355247631669044,0.2319309711456298
44,44,2028,厄立特里亚,0.0491223707795143,0.2291850447654724
12,12,2028,莫桑比克,0.0266550406813621,0.2285032868385315
177,177,2028,利比里亚,0.0352132692933082,0.2283170819282531
36,36,2028,英属维尔京群岛,0.031932033598423,0.2206211686134338
68,68,2028,多米尼克,0.0420357510447502,0.2197158336639404
