,NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
0,美国,65.59363670744116,135.890965219742,65.0,46,76,136.66666666666666,131,146,76,133,40,126
1,中国,48.22286172234023,102.38450560897401,56.666666666666664,53,62,105.66666666666667,87,118,62,118,40,91
2,俄罗斯奥林匹克委员会,22.69465459290018,66.12500982920038,24.0,21,28,54.333333333333336,52,57,23,57,0,1
5,德国,13.051616668701172,44.69099044799805,9.666666666666666,5,13,51.333333333333336,45,56,11,56,12,33
6,澳大利亚,10.624505996704102,41.69126892089844,14.0,12,16,44.333333333333336,38,51,14,51,18,53
4,日本,21.286312925832924,47.72816157864437,20.333333333333332,16,23,49.0,46,52,16,49,20,45
3,英国,18.011754989624023,53.040618896484375,19.666666666666668,14,23,50.0,44,58,23,44,14,65
7,意大利,11.860946655273438,39.3547248840332,11.0,10,12,40.666666666666664,35,49,11,38,12,40
8,法国,12.40328414052035,37.63533857687952,17.333333333333332,14,23,38.0,35,40,15,35,16,64
9,荷兰,13.559537887573242,34.29584884643555,13.0,10,17,35.666666666666664,33,38,17,33,15,34
11,加拿大,2.578696727752685,17.713424682617188,1.3333333333333333,0,3,20.0,17,23,0,23,9,27
10,西班牙,4.779820919036865,19.39157485961914,7.333333333333333,5,9,20.666666666666668,20,22,9,20,5,18
13,新西兰,4.548597812652588,15.670722007751465,3.3333333333333335,3,4,15.0,11,19,3,19,10,20
12,韩国,5.523574352264404,16.481952667236328,5.666666666666667,3,8,16.0,14,18,8,16,13,32
17,巴西,1.6135536432266235,11.379237174987791,2.0,0,3,10.333333333333334,6,14,3,14,3,20
19,塞尔维亚,3.1823363304138184,8.833252906799316,3.3333333333333335,1,5,9.666666666666666,7,13,4,13,3,5
23,南非,2.160596370697021,6.794304847717285,2.3333333333333335,2,3,9.666666666666666,6,13,2,13,1,6
15,波兰,4.9204421043396,15.537898063659668,4.666666666666667,3,8,14.666666666666666,12,17,3,12,1,10
14,匈牙利,5.06751012802124,15.648137092590332,3.6666666666666665,1,6,13.666666666666666,11,17,4,11,6,19
16,挪威,4.976337909698486,11.84658432006836,5.333333333333333,4,7,11.333333333333334,10,14,7,10,4,8
28,牙买加,1.556094765663147,5.78892183303833,2.0,1,3,7.0,4,9,1,9,1,6
18,丹麦,3.803382396697998,10.925257682800291,5.0,2,8,12.333333333333334,8,18,8,8,2,9
26,肯尼亚,2.1481549739837646,6.193021297454834,3.0,0,5,7.0,6,8,0,8,4,11
20,捷克,2.1691174507141118,7.103501319885254,1.0,0,2,8.333333333333334,7,11,0,7,3,5
35,哈萨克斯坦,0.8842054605484009,4.045333862304688,0.3333333333333333,0,1,4.0,2,7,1,7,1,7
22,阿根廷,0.8932911157608032,6.877642631530762,0.3333333333333333,0,1,8.333333333333334,4,15,1,6,1,3
33,古巴,1.894295573234558,4.722751140594482,2.0,1,4,5.0,3,6,1,6,2,9
