,NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
155,塞舌尔,0.0288280621170997,0.1980442702770233,0.0,0,0,0.6666666666666666,0,2,0,2,0,0
119,波斯尼亚和黑塞哥维那,0.056556113064289,0.2440832257270813,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
166,马耳他,0.0218518301844596,0.1852667033672332,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
89,缅甸,0.1433587968349456,0.4161540865898132,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
140,列支敦士登,0.0311097018420696,0.2084640264511108,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
160,老挝,0.0257754847407341,0.19450643658638,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
128,利比里亚,0.0352132692933082,0.2283170819282531,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
113,利比亚,0.0130535140633583,0.2586411833763122,0.0,0,0,1.0,0,2,0,1,0,0
157,密克罗尼西亚,0.0272970721125602,0.1966342329978943,0.3333333333333333,0,1,0.3333333333333333,0,1,1,1,0,0
169,柬埔寨,0.0223147496581077,0.1839097440242767,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
143,莱索托,0.0269751027226448,0.2053401470184326,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
193,安提瓜和巴布达,0.0181027129292488,0.1631527245044708,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
194,瓦努阿图,0.0168937519192695,0.1625959873199463,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
165,乍得,0.0228627100586891,0.1860129237174987,0.0,0,0,0.0,0,0,0,0,0,0
164,科摩罗,0.0222515389323234,0.1865966916084289,0.0,0,0,0.0,0,0,0,0,0,0
163,贝宁,0.0288792476058006,0.1873664557933807,0.0,0,0,0.0,0,0,0,0,0,0
162,马拉维,0.0239825472235679,0.1884652078151703,0.0,0,0,0.0,0,0,0,0,0,0
161,萨尔瓦多,0.0364728942513465,0.1884832978248596,0.0,0,0,0.0,0,0,0,0,0,0
